GroupID	Protein
1	ref|XP_003081535.1
2	ref|XP_003081764.1
3	ref|XP_003078067.1
4	ref|XP_003083660.1
5	ref|XP_003080534.1
6	ref|XP_003080857.1
7	ref|XP_003082265.1
8	ref|XP_003082807.1
9	ref|XP_003081226.1
10	ref|XP_003074196.1
11	ref|XP_003078594.1
12	ref|XP_003074895.1
13	ref|XP_003074640.1
14	ref|XP_003081775.1
15	ref|XP_003080110.1
16	ref|XP_003078222.1
17	ref|XP_003081981.1
18	ref|XP_003082156.1
19	ref|XP_003082479.1
20	ref|XP_003082826.1
21	ref|XP_003078997.1
22	ref|XP_003083424.1
23	ref|XP_003081708.1
24	ref|XP_003081643.1
25	ref|XP_003084075.1
26	ref|XP_003080248.1
27	ref|XP_003083886.1
28	ref|XP_003078677.1
29	ref|XP_003082474.1
30	ref|XP_003074591.1
31	ref|XP_003081804.1
32	ref|XP_003083668.1
33	ref|XP_003074693.1
34	ref|XP_003074080.1
35	ref|XP_003074739.1
36	ref|XP_003078234.1
37	ref|XP_003081602.1
38	ref|XP_003082403.1
39	ref|XP_003080833.1
40	ref|XP_003080812.1
41	ref|XP_003083043.1
42	ref|XP_003080688.1
43	ref|XP_003080755.1
44	ref|XP_003080366.1
45	ref|XP_003079640.1
46	ref|XP_003081848.1
47	ref|XP_003079114.1
48	ref|XP_003074491.1
49	ref|XP_003074517.1
50	ref|XP_003079022.1
51	ref|XP_003081733.1
52	ref|XP_003081849.1
53	ref|XP_003074225.1
54	ref|XP_003081267.1
55	ref|XP_003080008.1
56	ref|XP_003080154.1
57	ref|XP_003083454.1
58	ref|XP_003075272.1
59	ref|XP_003080943.1
60	ref|YP_717220.1
61	ref|XP_003083810.1
62	ref|XP_003083885.1
63	ref|XP_003083637.1
64	ref|XP_003083814.1
65	ref|XP_003082405.1
66	ref|XP_003083072.1
67	ref|XP_003082645.1
68	ref|XP_003083915.1
69	ref|XP_003074184.1
70	ref|XP_003078025.1
71	ref|XP_003082686.1
72	ref|XP_003083065.1
73	ref|XP_003080207.1
74	ref|XP_003074158.1
75	ref|XP_003081278.1
76	ref|XP_003079209.1
77	ref|XP_003082931.1
78	ref|XP_003080879.1
79	ref|XP_003078918.1
80	ref|XP_003080246.1
81	ref|XP_003078982.1
82	ref|XP_003084181.1
83	ref|XP_003082693.1
84	ref|XP_003077936.1
85	ref|XP_003081157.1
86	ref|XP_003080029.1
87	ref|YP_717205.1
88	ref|XP_003079968.1
89	ref|XP_003079392.1
90	ref|XP_003074248.1
91	ref|XP_003080079.1
92	ref|XP_003082728.1
93	ref|XP_003075173.1
94	ref|XP_003081527.1
95	ref|XP_003077935.1
96	ref|XP_003083196.1
97	ref|XP_003084410.1
98	ref|XP_003081944.1
99	ref|XP_003082443.1
100	ref|XP_003078049.1
101	ref|XP_003081837.1
102	ref|XP_003083684.1
103	ref|XP_003080427.1
104	ref|XP_003081735.2
105	ref|XP_003079874.1
106	ref|XP_003081268.1
107	ref|XP_003074363.1
108	ref|XP_003083360.1
109	ref|XP_003084376.1
110	ref|XP_003078864.1
111	ref|XP_003081975.1
112	ref|XP_003074379.1
113	ref|XP_003078108.1
114	ref|XP_003083052.1
115	ref|XP_003082781.1
116	ref|XP_003081227.1
117	ref|XP_003074280.1
118	ref|XP_003080922.1
119	ref|XP_003080036.1
120	ref|XP_003075336.1
121	ref|XP_003083990.1
122	ref|XP_003079062.1
123	ref|YP_717254.1
124	ref|XP_003083809.1
125	ref|XP_003080806.1
126	ref|XP_003082168.1
127	ref|XP_003081709.1
128	ref|XP_003080305.1
129	ref|XP_003079613.1
130	ref|XP_003080166.1
131	ref|XP_003075029.1
132	ref|XP_003083770.1
133	ref|XP_003075203.1
134	ref|XP_003079602.1
135	ref|XP_003080992.1
136	ref|XP_003081818.1
137	ref|XP_003079435.1
138	ref|XP_003080835.1
139	ref|XP_003080929.1
